RANKING,titulo,ANIO,puntaje,genero,Cantidad de votos,direccion,duracion,GANANCIAS EN DOLARES
7504,Old Yeller,1957,7.3,"Aventura, Drama, Familiar",10138,Robert Stevenson,83,21910000
7505,Shut In,2016,4.7,"Drama, Horror, Misterio",10137,Farren Blackburn,91,6880000
7506,The Other Man,2008,5.5,"Drama, Misterio, Suspenso",10137,Richard Eyre,88,NA
7507,Sex and Death 101,2007,6,"Comedia, Drama, Romántica",10133,Daniel Waters,117,20000
7508,Hungama,2003,7.5,"Comedia, Drama, Romántica",10126,Priyadarshan,153,NA
7509,The Three Caballeros,1944,6.5,"Animación, Comedia, Familiar",10122,Norman Ferguson,71,NA
7510,Runaway,1984,5.9,"Acción, Crimen, Ciencia Ficción",10118,Michael Crichton,99,6770000
7511,Days of Wine and Roses,1962,7.9,Drama,10118,Blake Edwards,117,NA
7512,Clockwise,1986,6.6,Comedia,10118,Christopher Morahan,96,1480000
7513,StreetDance 3D,2010,6,"Drama, Música, Romántica",10116,Max Giwa,98,NA
7514,The Toy,1982,5.8,Comedia,10104,Richard Donner,102,47120000
7515,Mine vaganti,2010,7.3,"Comedia, Drama, Romántica",10103,Ferzan Ozpetek,110,NA
7516,Freeheld,2015,6.5,"Biografía, Drama, Romántica",10098,Peter Sollett,103,530000
7517,Batman Ninja,2018,5.7,"Animación, Acción",10097,Junpei Mizusaki,85,NA
7518,Go Goa Gone,2013,6.6,"Acción, Aventura, Comedia",10094,Krishna D.K.,108,300000
7519,Me and Orson Welles,2008,6.8,"Comedia, Drama",10093,Richard Linklater,114,1190000
7520,Gentlemen Broncos,2009,6.2,"Aventura, Comedia, Ciencia Ficción",10091,Jared Hess,89,110000
7521,Night of the Demon,1957,7.6,"Fantasía, Horror, Misterio",10089,Jacques Tourneur,95,NA
7522,Aftershock,2012,4.8,"Acción, Aventura, Horror",10085,Nicolás López,89,40000
7523,Tea with Mussolini,1999,6.9,"Drama, Comedia, Guerra",10085,Franco Zeffirelli,117,14350000
7524,The Next Best Thing,2000,4.7,"Comedia, Drama, Romántica",10084,John Schlesinger,108,14990000
7525,ATL,2006,6,"Comedia, Crimen, Drama",10081,Chris Robinson,105,21160000
7526,Transit,2012,5.8,"Acción, Crimen, Suspenso",10081,Antonio Negret,88,NA
7527,Indignation,2016,6.8,"Drama, Romántica",10074,James Schamus,110,3400000
7528,Gorgeous,1999,6.1,"Acción, Comedia, Romántica",10068,Vincent Kok,121,NA
7529,Das finstere Tal,2014,7.1,"Misterio, Oeste",10064,Andreas Prochaska,115,NA
7530,The Brothers Solomon,2007,5.3,Comedia,10063,Bob Odenkirk,93,900000
7531,Night and the City,1950,8,"Crimen, Cine negro, Misterio",10056,Jules Dassin,101,3600000
7532,Donkey Punch,2008,5.2,"Crimen, Drama, Horror",10053,Oliver Blackburn,99,20000
7533,"Montevideo, Bog te video!",2010,8.3,"Aventura, Comedia, Drama",10052,Dragan Bjelogrlic,140,NA
7534,Don't Hang Up,2016,5.6,"Horror, Suspenso",10051,Damien Macé,83,NA
7535,Meek's Cutoff,2010,6.6,"Drama, Oeste",10050,Kelly Reichardt,104,980000
7536,Lady Snowblood: Blizzard from the Netherworld,1973,7.7,"Acción, Drama, Suspenso",10049,Toshiya Fujita,97,NA
7537,Bella,2006,7.3,"Drama, Romántica",10049,Alejandro Monteverde,91,8109999.999999999
7538,Lucia,2013,8.4,"Drama, Romántica, Ciencia Ficción",10047,Pawan Kumar,135,NA
7539,The Human Race,2013,5.3,"Acción, Horror, Ciencia Ficción",10045,Paul Hough,87,NA
7540,The Revenant,2009,6.3,"Comedia, Fantasía, Horror",10044,D. Kerry Prior,117,NA
7541,Still Walking,2008,8,Drama,10041,Hirokazu Koreeda,115,160000
7542,The 7th Voyage of Sinbad,1958,7.1,"Familiar, Fantasía, Acción",10038,Nathan Juran,88,6980000
7543,Gokudô kyôfu dai-gekijô: Gozu,2003,7,"Crimen, Drama, Horror",10027,Takashi Miike,129,50000
7544,Feuchtgebiete,2013,5.8,"Comedia, Drama",10021,David Wnendt,109,60000
7545,Robin and Marian,1976,6.6,"Aventura, Drama, Romántica",10017,Richard Lester,106,8720000
7546,Il capitale umano,2013,7.3,Drama,10013,Paolo Virzì,111,160000
7547,Machuca,2004,7.8,"Biografía, Drama, Histórico",10003,Andrés Wood,116,NA
7548,Syrup,2013,5.7,"Comedia, Drama, Romántica",9999,Aram Rappaport,90,0
7549,Running Scared,1986,6.5,"Acción, Comedia, Crimen",9998,Peter Hyams,107,38500000
7550,Summer with Monika,1953,7.6,"Drama, Romántica",9994,Ingmar Bergman,96,NA
7551,Ghajini,2005,7.5,"Acción, Drama, Misterio",9994,A.R. Murugadoss,175,NA
7552,Roma,1972,7.4,"Comedia, Drama",9993,Federico Fellini,120,NA
7553,The Letter,1940,7.7,"Crimen, Drama, Cine negro",9983,William Wyler,95,NA
7554,I Sell the Dead,2008,6.1,"Comedia, Horror",9982,Glenn McQuaid,85,10000
7555,The Sheltering Sky,1990,6.8,"Aventura, Drama",9975,Bernardo Bertolucci,138,2080000
7556,Lammbock,2001,7.3,Comedia,9975,Christian Zübert,93,NA
7557,Fury,1936,7.9,"Crimen, Drama, Cine negro",9974,Fritz Lang,92,NA
7558,Tôkyô zankoku keisatsu,2008,6,"Acción, Comedia, Horror",9973,Yoshihiro Nishimura,110,NA
7559,Noruwei no mori,2010,6.4,"Drama, Romántica",9971,Anh Hung Tran,133,10000
7560,Yamakasi - Les samouraïs des temps modernes,2001,6.1,"Acción, Drama, Crimen",9971,Ariel Zeitoun,90,NA
7561,Seksmisja,1984,7.7,"Aventura, Comedia, Ciencia Ficción",9971,Juliusz Machulski,117,NA
7562,Clay Pigeons,1998,6.6,"Comedia, Crimen",9968,David Dobkin,104,1790000
7563,Direktøren for det hele,2006,6.7,Comedia,9967,Lars von Trier,99,50000
7564,Gangster's Paradise: Jerusalema,2008,7.7,"Acción, Crimen, Drama",9967,Ralph Ziman,119,0
7565,Baisers volés,1968,7.8,"Comedia, Drama, Romántica",9965,François Truffaut,90,NA
7566,Elephant White,2011,5.1,"Acción, Crimen, Fantasía",9964,Prachya Pinkaew,91,NA
7567,Delta Farce,2007,3.5,"Acción, Aventura, Comedia",9961,C.B. Harding,90,8070000
7568,Im Labyrinth des Schweigens,2014,7.3,"Drama, Histórico",9957,Giulio Ricciarelli,124,790000
7569,Soldier of Orange,1977,7.8,"Drama, Romántica, Suspenso",9957,Paul Verhoeven,121,NA
7570,Polytechnique,2009,7.3,"Crimen, Drama, Histórico",9951,Denis Villeneuve,77,NA
7571,Starship Troopers: Invasion,2012,5.9,"Animación, Acción, Ciencia Ficción",9951,Shinji Aramaki,89,NA
7572,Das Testament des Dr. Mabuse,1933,7.9,Crimen,9946,Fritz Lang,122,NA
7573,Facing Window,2003,7.4,"Drama, Romántica",9944,Ferzan Ozpetek,106,540000
7574,Giulietta degli spiriti,1965,7.7,"Comedia, Drama, Fantasía",9942,Federico Fellini,137,80000
7575,Ninja: Shadow of a Tear,2013,6.2,"Acción, Crimen, Suspenso",9939,Isaac Florentine,95,NA
7576,Backtrack,2015,5.9,"Drama, Horror, Misterio",9938,Michael Petroni,90,NA
7577,Cul-de-sac,1966,7.2,"Comedia, Drama, Suspenso",9938,Roman Polanski,113,NA
7578,Lost Souls,2000,4.8,"Drama, Horror, Suspenso",9937,Janusz Kaminski,97,16780000
7579,Amityville: The Awakening,2017,4.9,"Horror, Suspenso",9933,Franck Khalfoun,85,0
7580,Teorema,1968,7.3,"Drama, Misterio",9927,Pier Paolo Pasolini,98,NA
7581,Kin-dza-dza!,1986,8.2,"Comedia, Drama, Ciencia Ficción",9926,Georgiy Daneliya,135,NA
7582,Ernest Goes to Camp,1987,5.5,"Comedia, Familiar",9923,John R. Cherry III,92,23510000
7583,Savage Grace,2007,5.9,Drama,9920,Tom Kalin,97,430000
7584,Home of the Brave,2006,5.6,"Acción, Drama, Guerra",9919,Irwin Winkler,106,50000
7585,Choi-jong-byeong-gi hwal,2011,7.2,Acción,9919,Han-min Kim,122,250000
7586,The Crow: Salvation,2000,5,"Acción, Crimen, Fantasía",9917,Bharat Nalluri,102,NA
7587,The Muse,1999,5.7,Comedia,9917,Albert Brooks,97,11610000
7588,Neco z Alenky,1988,7.5,"Animación, Aventura, Fantasía",9916,Jan Svankmajer,86,NA
7589,Tom Jones,1963,6.7,"Aventura, Comedia, Histórico",9910,Tony Richardson,128,37600000
7590,Rob the Mob,2014,6.3,"Crimen, Drama",9906,Raymond De Felitta,104,210000
7591,Oklahoma!,1955,7.2,"Comedia, Drama, Musical",9904,Fred Zinnemann,145,NA
7592,Yves Saint Laurent,2014,6.2,"Biografía, Drama",9904,Jalil Lespert,106,720000
7593,Labor Pains,2009,4.8,"Comedia, Romántica",9903,Lara Shapiro,89,NA
7594,The Meddler,2015,6.3,"Comedia, Drama, Romántica",9897,Lorene Scafaria,103,4270000
7595,Santa Claus: The Movie,1985,6.1,"Aventura, Familiar, Fantasía",9889,Jeannot Szwarc,107,23720000
7596,The Preacher's Wife,1996,5.5,"Comedia, Drama, Fantasía",9889,Penny Marshall,123,48100000
7597,Walking with Dinosaurs: The Movie,2013,5.2,"Animación, Aventura, Familiar",9889,Barry Cook,87,36080000
7598,Table No.21,2013,7.1,"Aventura, Drama, Misterio",9885,Aditya Datt,108,30000
7599,A Dark Song,2016,6.1,"Drama, Fantasía, Horror",9882,Liam Gavin,100,NA
7600,Maudie,2016,7.6,"Biografía, Drama, Romántica",9880,Aisling Walsh,115,6170000
7601,Shall We Dance?,1996,7.7,"Comedia, Drama, Música",9880,Masayuki Suo,136,9680000
7602,The Duke of Burgundy,2014,6.6,"Drama, Misterio, Romántica",9877,Peter Strickland,104,30000
7603,The I Inside,2004,6.1,"Misterio, Ciencia Ficción, Suspenso",9874,Roland Suso Richter,90,NA
7604,All the Real Girls,2003,6.9,"Drama, Romántica",9872,David Gordon Green,108,550000
7605,The Gingerbread Man,1998,5.7,Suspenso,9868,Robert Altman,114,1530000
7606,Kabali,2016,6.4,"Acción, Crimen, Drama",9866,Pa. Ranjith,153,NA
7607,Bait,2000,5.8,"Acción, Comedia, Crimen",9860,Antoine Fuqua,119,15330000
7608,The Babysitters,2007,5.7,Drama,9858,David Ross,88,40000
7609,Oliver Twist,1948,7.8,Drama,9856,David Lean,116,NA
7610,Santa Claus Conquers the Martians,1964,2.6,"Aventura, Comedia, Familiar",9855,Nicholas Webster,81,NA
7611,Romeo & Juliet,2013,5.8,"Drama, Romántica",9853,Carlo Carlei,113,1160000
7612,Dirty Girl,2010,6.5,"Comedia, Drama",9853,Abe Sylvia,90,50000
7613,The Woods,2006,5.7,"Horror, Misterio, Suspenso",9853,Lucky McKee,91,NA
7614,Skammen,1968,8,Drama,9851,Ingmar Bergman,103,NA
7615,Hombre,1967,7.4,Oeste,9844,Martin Ritt,111,NA
7616,The Factory,2012,5.8,"Crimen, Misterio, Suspenso",9844,Morgan O'Neill,104,NA
7617,4.3.2.1.,2010,5.8,"Crimen, Suspenso",9843,Noel Clarke,117,NA
7618,Beyond Re-Animator,2003,5.9,"Comedia, Horror, Ciencia Ficción",9842,Brian Yuzna,96,NA
7619,Doua lozuri,2016,7.9,Comedia,9841,Paul Negoescu,86,NA
7620,Twin Dragons,1992,6.4,"Acción, Comedia",9836,Ringo Lam,104,8330000
7621,Turbulence,1997,4.8,"Acción, Suspenso",9834,Robert Butler,100,11470000
7622,Incir Reçeli,2011,6.6,"Drama, Romántica",9833,Aytaç Agirlar,94,NA
7623,Shut In,2015,5.7,"Drama, Horror, Suspenso",9832,Adam Schindler,90,NA
7624,White Hunter Black Heart,1990,6.7,"Aventura, Drama",9831,Clint Eastwood,112,2320000
7625,Remo: Unarmed and Dangerous,1985,6.4,"Acción, Aventura, Comedia",9826,Guy Hamilton,121,NA
7626,Charlotte Gray,2001,6.4,"Drama, Romántica, Suspenso",9825,Gillian Armstrong,121,670000
7627,The Dark,2005,5.4,"Drama, Horror, Misterio",9824,John Fawcett,93,NA
7628,That's What I Am,2011,7.1,"Comedia, Drama, Romántica",9821,Michael Pavone,101,NA
7629,Two-Lane Blacktop,1971,7.3,Drama,9820,Monte Hellman,102,NA
7630,Gunga Din,1939,7.5,"Aventura, Comedia, Guerra",9819,George Stevens,117,NA
7631,Lottery Ticket,2010,5,Comedia,9815,Erik White,99,24710000
7632,Peacock,2010,6.3,"Drama, Suspenso",9815,Michael Lander,90,NA
7633,Karakter,1997,7.8,"Crimen, Drama, Misterio",9812,Mike van Diem,122,710000
7634,Split Second,1992,6.2,"Acción, Crimen, Horror",9808,Tony Maylam,90,5430000
7635,Blueberry,2004,5.2,"Aventura, Oeste",9805,Jan Kounen,124,NA
7636,Madea's Family Reunion,2006,5.1,"Comedia, Drama, Romántica",9801,Tyler Perry,107,63260000
7637,Moscow on the Hudson,1984,6.5,"Comedia, Drama, Romántica",9801,Paul Mazursky,115,25100000
7638,Feeling Minnesota,1996,5.4,"Comedia, Crimen, Drama",9800,Steven Baigelman,99,3100000
7639,Mulk,2018,5.9,Drama,9798,Anubhav Sinha,140,NA
7640,Space Chimps,2008,4.5,"Animación, Aventura, Comedia",9798,Kirk DeMicco,81,30110000
7641,Dog Pound,2010,7,Drama,9796,Kim Chapiron,91,NA
7642,Fright Night Part 2,1988,5.9,"Comedia, Horror, Suspenso",9795,Tommy Lee Wallace,104,2980000
7643,Divorzio all'italiana,1961,8.2,"Comedia, Drama, Romántica",9788,Pietro Germi,104,NA
7644,Song of the South,1946,7.3,"Animación, Comedia, Familiar",9786,Wilfred Jackson,94,63720000
7645,Bad Bromance,2015,5,"Comedia, Drama",9786,Andrew Mogel,101,660000
7646,Night Moves,1975,7.2,"Crimen, Misterio, Suspenso",9784,Arthur Penn,100,NA
7647,Hwal,2005,7.2,"Drama, Romántica",9783,Ki-duk Kim,90,NA
7648,Pink Cadillac,1989,5.3,"Acción, Comedia, Crimen",9782,Buddy Van Horn,122,12140000
7649,Athadu,2005,8.3,"Acción, Comedia, Musical",9782,Trivikram Srinivas,172,NA
7650,Hey Ram,2000,8,"Crimen, Drama, Histórico",9780,Kamal Haasan,186,270000
7651,Steel,1997,2.8,"Acción, Crimen, Ciencia Ficción",9779,Kenneth Johnson,97,1710000
7652,Tees Maar Khan,2010,2.5,"Comedia, Crimen",9779,Farah Khan,135,1080000
7653,Asterix and Cleopatra,1968,7.2,"Animación, Aventura, Comedia",9777,René Goscinny,72,NA
7654,The Caller,2011,6.1,Suspenso,9774,Matthew Parkhill,92,NA
7655,Bheja Fry,2007,7.7,"Comedia, Drama",9772,Sagar Ballary,95,NA
7656,Closely Observed Trains,1966,7.7,"Comedia, Drama, Romántica",9771,Jirí Menzel,92,NA
7657,G.B.F.,2013,6,"Comedia, Drama, Romántica",9768,Darren Stein,92,NA
7658,The Final,2010,5.4,"Drama, Horror, Suspenso",9767,Joey Stewart,93,NA
7659,Deathwatch,2002,6,"Drama, Horror, Guerra",9765,M.J. Bassett,94,NA
7660,Kuai can che,1984,7.2,"Acción, Comedia, Crimen",9765,Sammo Kam-Bo Hung,108,NA
7661,Gun Crazy,1950,7.7,"Crimen, Drama, Cine negro",9759,Joseph H. Lewis,87,NA
7662,A Prayer Before Dawn,2017,6.9,"Acción, Biografía, Crimen",9758,Jean-Stéphane Sauvaire,116,NA
7663,Brainstorm,1983,6.5,"Ciencia Ficción, Suspenso",9746,Douglas Trumbull,106,8900000
7664,The Portrait of a Lady,1996,6.3,"Drama, Romántica",9742,Jane Campion,144,3690000
7665,God's Pocket,2014,6.1,"Crimen, Drama",9739,John Slattery,88,100000
7666,Yoga Hosers,2016,4.3,"Comedia, Fantasía, Horror",9738,Kevin Smith,88,NA
7667,Operation 'Y' & Other Shurik's Adventures,1965,8.6,"Comedia, Crimen, Romántica",9738,Leonid Gayday,95,NA
7668,Porky's II: The Next Day,1983,4.9,Comedia,9735,Bob Clark,98,33760000
7669,Ostrov,2006,8,Drama,9733,Pavel Lungin,112,NA
7670,The House with a Clock in Its Walls,2018,6.2,"Comedia, Familiar, Fantasía",9728,Eli Roth,105,66819999.99999999
7671,Captain America,1990,3.3,"Acción, Aventura, Ciencia Ficción",9728,Albert Pyun,97,NA
7672,Chéri,2009,6.2,"Comedia, Drama, Romántica",9721,Stephen Frears,100,2710000
7673,Little Monsters,1989,6.1,"Aventura, Comedia, Familiar",9720,Richard Greenberg,100,790000
7674,Modigliani,2004,7.4,"Biografía, Drama",9718,Mick Davis,128,200000
7675,God's Not Dead 2,2016,4.4,Drama,9717,Harold Cronk,120,20770000
7676,Frantz,2016,7.5,"Drama, Histórico, Romántica",9714,François Ozon,113,880000
7677,Hustlers,2013,5.9,"Acción, Comedia, Crimen",9712,Wayne Kramer,112,0
7678,Carnal Knowledge,1971,7,Drama,9711,Mike Nichols,98,28620000
7679,Fritz the Cat,1972,6.3,"Animación, Comedia, Drama",9707,Ralph Bakshi,78,25000000
7680,Sylvia,2003,6.3,"Biografía, Drama, Romántica",9705,Christine Jeffs,110,1300000
7681,The Deep,1977,6.2,"Aventura, Misterio, Suspenso",9704,Peter Yates,123,6840000
7682,Next Day Air,2009,5.8,"Acción, Comedia, Crimen",9701,Benny Boom,84,10020000
7683,The Broken,2008,5.5,"Drama, Horror, Suspenso",9700,Sean Ellis,93,NA
7684,Columbus Circle,2012,6,"Crimen, Drama, Misterio",9699,George Gallo,82,NA
7685,Veere Di Wedding,2018,3.1,Comedia,9698,Shashanka Ghosh,135,NA
7686,How to Make an American Quilt,1995,6.2,"Comedia, Drama, Romántica",9697,Jocelyn Moorhouse,117,23570000
7687,The Notorious Bettie Page,2005,6.6,"Biografía, Drama",9695,Mary Harron,91,1410000
7688,Wings,1927,7.7,"Drama, Romántica, Guerra",9695,William A. Wellman,144,6590000
7689,Catch a Fire,2006,6.7,"Biografía, Drama, Histórico",9690,Phillip Noyce,101,4290000
7690,The Two Jakes,1990,6.1,"Crimen, Drama, Misterio",9687,Jack Nicholson,137,10010000
7691,Johnny Gaddaar,2007,7.9,"Crimen, Drama, Misterio",9686,Sriram Raghavan,135,NA
7692,Three Fugitives,1989,6.1,"Acción, Comedia",9678,Francis Veber,96,40590000
7693,Double Dragon,1994,3.7,"Acción, Aventura, Comedia",9676,James Yukich,96,2340000
7694,United,2011,7.5,"Drama, Histórico, Deportes",9675,James Strong,94,NA
7695,Billa 2,2012,6.3,"Acción, Suspenso",9674,Chakri Toleti,129,NA
7696,Bareilly Ki Barfi,2017,7.5,"Comedia, Romántica",9672,Ashwiny Iyer Tiwari,116,NA
7697,Soul Men,2008,6.5,"Comedia, Drama, Música",9670,Malcolm D. Lee,100,12080000
7698,Les émotifs anonymes,2010,6.9,"Comedia, Romántica",9668,Jean-Pierre Améris,80,NA
7699,Tales of Halloween,2015,5.5,"Comedia, Horror",9667,Darren Lynn Bousman,92,NA
7700,Ernest Scared Stupid,1991,5.8,"Comedia, Familiar, Fantasía",9662,John R. Cherry III,91,14140000
7701,Rosewater,2014,6.6,"Biografía, Drama",9661,Jon Stewart,103,3130000
7702,Et maintenant on va où?,2011,7.5,"Comedia, Drama",9660,Nadine Labaki,110,530000
7703,Çalgi Çengi,2011,7.3,Comedia,9655,Selçuk Aydemir,90,NA
7704,Ladies in Lavender,2004,7,"Drama, Música, Romántica",9651,Charles Dance,104,6760000
7705,Forever Strong,2008,7.2,"Drama, Deportes",9647,Ryan Little,112,630000
7706,Bacalaureat,2016,7.4,"Crimen, Drama",9645,Cristian Mungiu,128,180000
7707,Rugrats in Paris,2000,6.2,"Animación, Aventura, Comedia",9644,Stig Bergqvist,78,76510000
7708,The Wings of the Dove,1997,7.2,"Drama, Romántica",9638,Iain Softley,102,13720000
7709,Manhattan Nocturne,2016,6.2,"Crimen, Drama, Misterio",9633,Brian DeCubellis,113,NA
7710,Kajaki,2014,7.1,"Aventura, Biografía, Drama",9632,Paul Katis,108,NA
7711,Jeux interdits,1952,8,"Drama, Guerra",9628,René Clément,86,10000
7712,Brat 2,2000,7.9,"Acción, Crimen, Suspenso",9628,Aleksey Balabanov,122,NA
7713,My Father the Hero,1994,5.4,"Comedia, Romántica",9626,Steve Miner,90,25480000
7714,Rogues Gallery,2010,4.9,"Acción, Comedia",9623,Fouad Mikati,87,NA
7715,The Canyons,2013,3.8,"Drama, Suspenso",9619,Paul Schrader,99,50000
7716,The Decoy Bride,2011,6.2,"Comedia, Drama, Romántica",9610,Sheree Folkson,89,0
7717,The Night Porter,1974,6.8,Drama,9608,Liliana Cavani,118,NA
7718,3 Ninjas: High Noon at Mega Mountain,1998,2.8,"Acción, Aventura, Comedia",9607,Sean McNamara,93,380000
7719,Koneko monogatari,1986,7.1,"Aventura, Drama, Familiar",9604,Masanori Hata,90,13250000
7720,The Escort,2016,6,"Comedia, Drama, Romántica",9600,Will Slocombe,88,NA
7721,Ghulam,1998,7.4,"Acción, Crimen, Drama",9595,Vikram Bhatt,162,NA
7722,Saala Khadoos,2016,7.7,"Acción, Drama, Deportes",9594,Sudha Kongara,109,80000
7723,Chapter 27,2007,5.7,"Biografía, Crimen, Drama",9593,J.P. Schaefer,84,60000
7724,Partner,2007,5.7,"Comedia, Drama, Romántica",9590,David Dhawan,155,1060000
7725,Big Jake,1971,7.2,Oeste,9588,George Sherman,110,7500000
7726,Letter from an Unknown Woman,1948,8,"Drama, Romántica",9586,Max Ophüls,87,NA
7727,Moskva slezam ne verit,1980,8.2,"Comedia, Drama, Romántica",9577,Vladimir Menshov,150,2500000
7728,Velayudham,2011,6.5,"Acción, Aventura",9574,Mohan Raja,186,NA
7729,Armed and Dangerous,1986,5.6,"Acción, Comedia, Crimen",9573,Mark L. Lester,88,15950000
7730,The Night of the Iguana,1964,7.8,Drama,9572,John Huston,125,NA
7731,The Keep,1983,5.8,Horror,9570,Michael Mann,96,3760000
7732,The Lady,2011,7.1,"Biografía, Drama, Histórico",9565,Luc Besson,132,360000
7733,Roja,1992,8.2,"Acción, Drama, Romántica",9562,Mani Ratnam,137,NA
7734,Incarnate,2016,5.2,"Fantasía, Horror, Misterio",9558,Brad Peyton,91,4790000
7735,Une vie de chat,2010,7,"Animación, Aventura, Comedia",9556,Jean-Loup Felicioli,70,310000
7736,Barfuss,2005,7.2,"Comedia, Drama, Romántica",9556,Til Schweiger,118,NA
7737,Common Wealth,2000,7.3,"Comedia, Crimen, Horror",9550,Álex de la Iglesia,110,NA
7738,Chances Are,1989,6.4,"Comedia, Fantasía, Romántica",9546,Emile Ardolino,108,16280000.000000002
7739,Twixt,2011,4.8,"Comedia, Fantasía, Horror",9544,Francis Ford Coppola,88,NA
7740,Don't Knock Twice,2016,5.1,Horror,9537,Caradog W. James,93,NA
7741,My Life,1993,6.8,Drama,9536,Bruce Joel Rubin,117,27480000
7742,Mo' Better Blues,1990,6.6,"Drama, Música, Romántica",9535,Spike Lee,129,16149999.999999998
7743,Red,2008,7,"Drama, Horror, Suspenso",9532,Trygve Allister Diesen,93,0
7744,Iklimler,2006,7.3,Drama,9531,Nuri Bilge Ceylan,101,120000
7745,The Palm Beach Story,1942,7.7,"Comedia, Romántica",9530,Preston Sturges,88,440000
7746,Critters 3,1991,4.3,"Comedia, Horror, Ciencia Ficción",9527,Kristine Peterson,86,NA
7747,Bus Stop,1956,6.6,"Comedia, Drama, Romántica",9526,Joshua Logan,96,NA
7748,Wrecked,2013,6.5,"Drama, Suspenso",9525,Kevin Goetz,82,NA
7749,Bombay,1995,8.1,"Drama, Musical, Romántica",9525,Mani Ratnam,141,NA
7750,Criminal,2004,6.4,"Comedia, Crimen, Drama",9523,Gregory Jacobs,87,14690000
7751,Hoodlum,1997,6.3,"Crimen, Drama",9521,Bill Duke,130,23460000
7752,Truman,2015,7.3,"Comedia, Drama",9521,Cesc Gay,108,210000
7753,A Single Shot,2013,5.8,"Crimen, Drama, Suspenso",9520,David M. Rosenthal,116,10000
7754,The Grey Zone,2001,7.1,"Drama, Histórico, Guerra",9520,Tim Blake Nelson,108,520000
7755,Raman Raghav 2.0,2016,7.3,"Crimen, Drama, Suspenso",9519,Anurag Kashyap,133,NA
7756,Redacted,2007,6.1,"Crimen, Suspenso, Guerra",9516,Brian De Palma,90,70000
7757,Certain Women,2016,6.3,Drama,9515,Kelly Reichardt,107,1030000
7758,The Newton Boys,1998,6.1,"Acción, Crimen, Drama",9505,Richard Linklater,122,10300000
7759,Shock Corridor,1963,7.5,"Drama, Misterio",9505,Samuel Fuller,101,NA
7760,The Crazies,1973,6.1,"Acción, Horror, Ciencia Ficción",9504,George A. Romero,103,150000
7761,Love Exposure,2008,8.1,"Acción, Comedia, Drama",9502,Sion Sono,237,NA
7762,No One Killed Jessica,2011,7.2,"Biografía, Crimen, Drama",9502,Raj Kumar Gupta,136,440000
7763,Ronia: The Robber's Daughter,1984,7.3,"Aventura, Drama, Familiar",9497,Tage Danielsson,126,NA
7764,Beyond the Black Rainbow,2010,6.1,"Horror, Ciencia Ficción, Suspenso",9491,Panos Cosmatos,110,60000
7765,Three O'Clock High,1987,7.2,Comedia,9491,Phil Joanou,97,3690000
7766,Tere Bin Laden,2010,7.2,"Comedia, Drama",9491,Abhishek Sharma,95,NA
7767,The Good Thief,2002,6.6,"Acción, Crimen, Drama",9486,Neil Jordan,109,3520000
7768,Bronco Billy,1980,6.1,"Acción, Aventura, Comedia",9484,Clint Eastwood,116,24270000
7769,Una giornata particolare,1977,8.1,Drama,9481,Ettore Scola,106,NA
7770,6 Years,2015,5.6,"Drama, Romántica",9477,Hannah Fidell,79,NA
7771,Dear Wendy,2005,6.6,"Comedia, Crimen, Drama",9476,Thomas Vinterberg,105,20000
7772,The Boys Are Back,2009,6.9,Drama,9473,Scott Hicks,104,810000
7773,To End All Wars,2001,7.1,"Acción, Drama, Guerra",9470,David L. Cunningham,125,NA
7774,Savior,1998,7.3,"Drama, Guerra",9452,Predrag Antonijevic,103,10000
7775,Altered,2006,5.7,"Horror, Ciencia Ficción, Suspenso",9444,Eduardo Sánchez,88,NA
7776,Astérix et les Vikings,2006,6,"Animación, Aventura, Comedia",9444,Stefan Fjeldmark,78,NA
7777,HHhH,2017,6.4,"Acción, Biografía, Suspenso",9441,Cédric Jimenez,120,NA
7778,Peter's Friends,1992,7,"Comedia, Drama, Romántica",9439,Kenneth Branagh,101,4059999.9999999995
7779,The Troops of St. Tropez,1964,7.2,"Aventura, Comedia, Crimen",9431,Jean Girault,90,NA
7780,Because of Winn-Dixie,2005,6.4,"Comedia, Drama, Familiar",9430,Wayne Wang,106,32650000
7781,Don,1978,7.8,"Acción, Crimen, Suspenso",9429,Chandra Barot,175,NA
7782,Fack ju Göhte 2,2015,6,Comedia,9427,Bora Dagtekin,115,NA
7783,The Hollars,2016,6.5,"Comedia, Drama, Romántica",9426,John Krasinski,88,1020000
7784,Spare Parts,2015,7.3,Drama,9422,Sean McNamara,114,3610000
7785,Heartless,2009,6,"Drama, Fantasía, Horror",9422,Philip Ridley,114,0
7786,Ill Manors,2012,7.1,"Crimen, Drama",9421,Plan B,121,NA
7787,Escobar,2017,6.3,"Acción, Biografía, Crimen",9420,Fernando León de Aranoa,123,20000
7788,Enduring Love,2004,6.4,"Drama, Misterio, Romántica",9418,Roger Michell,100,360000
7789,Hurlyburly,1998,5.8,"Comedia, Drama",9412,Anthony Drazan,122,1800000
7790,Stage Beauty,2004,7.2,Drama,9406,Richard Eyre,106,780000
7791,Chupke Chupke,1975,8.4,"Comedia, Drama, Romántica",9405,Hrishikesh Mukherjee,146,NA
7792,Brainscan,1994,6.1,"Comedia, Horror, Ciencia Ficción",9404,John Flynn,96,4260000
7793,Larry the Cable Guy: Health Inspector,2006,3.2,"Comedia, Romántica",9402,Trent Cooper,89,15660000
